ExecId,Date,StockSymbol,TransactionType,Quantity,PricePerShare,TotalAmount
00012ec5.678c886e.01.01,20250119 18:33:18 EET,AAPL,SLD,100.0000000000000000,229.98,22998.00
00012ec5.678c8872.01.01,20250119 18:38:03 EET,TSLA,BOT,10.0000000000000000,426.5,4265.00
00012ec5.678c8877.01.01,20250119 18:44:19 EET,TSLA,SLD,2.0000000000000000,426.5,853.00
00012ec5.678c8891.01.01,20250119 19:20:03 EET,AAPL,BOT,10.0000000000000000,229.98,2299.80
